id,name_ru
17,Ярость Мартина
25,Иссеченный короткий меч
35,Гнутый посох
36,Иссеченная палица
37,Старый топор
38,Рубашка рекрута
39,Штаны рекрута
40,Сапоги рекрута
43,Сапоги оруженосца
44,Штаны оруженосца
45,Рубашка оруженосца
47,Ботинки разбойника с большой дороги
48,Штаны разбойника с большой дороги
49,Рубашка разбойника с большой дороги
51,Сапоги неофита
52,Штаны неофита
53,Рубашка неофита
55,Сапоги ученика
56,Одеяние ученика
57,Одеяние послушника
59,Ботинки послушника
60,Многослойный мундир
61,Дворфийские кожаные штаны
79,Дворфийские матерчатые брюки
80,Отделанные мехом мягкие ботинки
85,Грязный кожаный жилет
88,Испорченные старые штаны
91,СТАРЫЕ штаны дворфийского новичка
100,Испорченные штаны дворфийского оруженосца
117,Жесткая солонина
118,Крохотный флакон с лечебным зельем
120,Штаны головореза
121,Сапоги головореза
127,Рубашка зверолова
128,Испорченные штаны таурена-охотника
129,Рваные сапоги зверолова
138,Испорченная боевая куртка
139,Штаны буяна
140,Сапоги буяна
143,"Monster - Shield, Stormwind Guard"
147,Рваные штаны зверолова
148,Рваная рубашка зверолова
153,Примитивный килт
154,Простая мантия
156,Испорченные штаны рекрута тауренов
159,Освежающая ключевая вода
182,Голова Гаррика
192,Сломанный посох Мартина
193,Потрепанный матерчатый жилет
194,Потрепанные матерчатые штаны
195,Потрепанные матерчатые сапоги
200,Утолщенный матерчатый жилет
201,Утолщенные матерчатые штаны
202,Утолщенные матерчатые ботинки
203,Утолщенные матерчатые перчатки
209,Грязные кожаные штаны
210,Грязные кожаные сапоги
236,Доспех из обработанной кожи
237,Штаны из обработанной кожи
238,Сапоги из обработанной кожи
239,Перчатки из обработанной кожи
285,Малый чешуйчатый панцирь
286,Чешуйчатые штаны
287,Чешуйчатые сапоги
414,Даларанский острый сыр
422,Дворфийский мягкий сыр
537,Тусклая чешуя бешенки
555,Грубые перья стервятника
556,Клюв канюка
647,Судьба
710,Наручи народного ополчения
711,Потрепанные матерчатые перчатки
714,Грязные кожаные перчатки
718,Чешуйчатые перчатки
719,Перчатки охотника на кроликов
720,Перчатки буяна
723,Печень кровоклыка
724,Пирожок из печени кровоклыка
725,Лапа гнолла
727,Зубчатый короткий меч
728,Рецепт: похлебка Западного Края
729,Жилистое мясо стервятника
730,Глаз мурлока
731,Рыло кровоклыка
732,Спелая окра
733,Похлебка Западного Края
734,Испорченный медальон Макалаи
735,Медальоны Рольфа и Малакаи
737,Вода святого источника
738,Мешок ячменя
739,Мешок кукурузы
740,Мешок ржи
742,Ветка смоковницы
743,Вязанка обуглившихся дубовых поленьев
744,Засапожная фляга Громовара
745,Документы маршала Макбрайда
748,Знак брони Штормграда
750,Жесткое волчье мясо
752,Красная холщовая бандана
753,Короткий меч Драконьей Пасти
754,Короткий меч отмщения
755,Растаявшая свеча
756,Туннельная кирка
763,Покрытые льдом наручи
765,Сребролист
766,Ребристая палица
767,Длинный посох Бо
768,Топор дровосека
769,Кусок кабанины
770,Заостренный зуб кроколиска
771,Надколотый клык вепря
772,Большая свеча
773,Золотая пыль
774,Малахит
776,Вендетта
777,Зубы лесного хищника
778,Кобольдская кирка
779,Блестящая ракушка
780,Рваный плавник мурлока
781,Каменный молот гнолла
782,Раскрашенные поручи гнолла
783,Легкая шкура
785,Магороза
787,Скользкокожая скумбрия
789,Боевой молот упорства
790,Топор лесника
791,Корявый ясеневый посох
792,Вязаные сандалии
793,Вязаные перчатки
794,Вязаные штаны
795,Вязаный мундир
796,Грубые кожаные сапоги
797,Грубые кожаные перчатки
798,Грубые кожаные штаны
799,Грубый кожаный жилет
804,Большой синий мешок
805,Маленький красный мешочек
809,Кровавая бритва
810,Молот Северного ветра
811,Топор Лесных чащоб
812,Светящийся посох Светлой рощи
813,Сломанный зубец
814,Бурдюк с маслом
816,Кинжальчик
818,Тигровый глаз
820,Нарезающий клинок
821,Кожаный жилет Речной Лапы
826,Грубый топор Речной Лапы
827,Гибельная дубинка
828,Маленький синий мешочек
829,Красная кожаная бандана
832,Серебряный пояс братства Справедливости
833,Жизнекамень
835,Большая веревочная сеть
837,Тяжелотканая броня
838,Тяжелотканные штаны
839,Тяжелотканые перчатки
840,Тяжелотканые ботинки
841,Карманные часы Хмуроброва
843,Сапоги из дубленой кожи
844,Перчатки из дубленой кожи
845,Штаны из дубленой кожи
846,Жакет из дубленой кожи
847,Байдана
848,Кольчужные штаны
849,Кольчужные сапоги
850,Кольчужные перчатки
851,Абордажная сабля
852,Палица
853,Секира
854,Укороченный посох
856,Синяя кожаная сумка
857,Большой красный мешок
858,Маленький флакон с лечебным зельем
859,Тонкая матерчатая рубашка
860,Сапоги кавалериста
862,Руническое кольцо
863,Мрачный жнец
864,Рыцарский длинный меч
865,Утяжеленная свинцом палица
866,Монашеский посох
867,Перчатки Священной Мощи
868,Ревностный хранитель
869,Ослепительный длинный меч
870,Огненная секира
871,Топор шквала
872,Камнерез
873,Посох Джордана
876,Старый деревянный кулачный щит
878,Паутинная железа размером с кулак
880,Посох Ужасов
884,Ребро вурдалака
885,Черный металлический топор
887,Фунт мяса
888,Кулачные перчатки наги
889,Пыльное неотосланное письмо
890,Крученый посох певчего
892,Перчатки гнолла-заклинателя
893,Клык лютого волка
895,Череп воргена
896,Клык воргена
897,Наручи бешеного волка
899,Ядовитый паучий клык
900,Испорченное призывание кошмарного коня верховой
910,Недоставленное письмо
911,Ветвь с железного дерева
913,Огромный огрский меч
914,Большой огрский плетеный доспех
915,Красная шелковая бандана
916,Вырванная из дневника страница
918,Сума из искаженной шкуры
920,Гибельная шипастая палица
921,Выцветшая страница с записями
922,Дакийский фалькс
923,Длинный меч
924,Кувалда
925,Окованная дубина
926,Боевой топор
927,Обоюдоострый топор
928,Длинный посох
929,Лечебное зелье
931,Испорченный тяжелый коричневый мешок
932,Вьюки коня скверны
933,Большой походный мешок
934,Жнец Сталвана
935,Короткий меч Ночного Дозора
936,Полночная палица
937,Черный посох Сумеречного леса
938,Испачканные страницы записей
939,Запятнанная кровью страница записей
940,Одеяния прозрения
942,Кольцо заморозки
943,Посох тюремщика
944,Посох магии стихий
954,Свиток силы
955,Свиток интеллекта
956,Deprecated Area Trigger Flag - Jasperlode mine
957,Посылка Вильяма
958,Deprecated Area Trigger Flag - Darkhollow Mine
960,Deprecated Area Trigger Flag - Fargodeep
961,Целебная трава
962,Пирог со свининой
981,Ожерелье Бернис
983,Красный льняной кушак
996,Кольцо праведного пламени TEST
1006,Латунный ошейник
1008,Видавший виды меч
1009,Компактный молот
1010,Корявый короткий посох
1011,Острый топор
1013,Железная клепка
1014,Большой кошель старый
1015,Постный волчий бок
1017,Приправленная котлета из волчатины
1019,Красная льняная бандана
1020,Кожаный полный шлем D тест
1021,Кожаный полный шлем А тест
1024,Латный полный шлем D2 тест
1025,Латный полный шлем D1 тест
1027,Кольчужный полный шлем A тест
1028,Испорченный иссеченный шлем
1041,Рог черного волка
1074,Твердый кончик паучьей лапки
1075,Подвеска Темношкуров
1076,Кольцо предателя Братства Справедливости
1077,Кольцо мага Братства Справедливости
1080,Жесткое мясо кондора
1081,Хрустящее паучье мясо
1082,Гуляш по-красногорски
1083,Амулет Азоры
1113,Сотворенный хлеб
1114,Сотворенный ржаной хлеб
1116,Кольцо из чистого серебра
1121,Рысьи лапы
1127,Взрывпакет
1129,Клык вурдалака
1130,Фиал паучьего яда
1131,Тотем Кары
1132,Рог лесного волка
1154,Пояс народного ополчения
1155,Жезл сноходца
1156,Щедро изукрашенное кольцо
1158,Твердая металлическая дубина
1159,Окованный посох ополчения
1161,Короткий меч ополчения
1162,Пиратская глазная повязка тест
1166,Зазубренный кулачный щит
1167,Маленький тарг
1168,Щит пылающего черепа
1169,Черночерепный щит
1171,Хорошо прошитое одеяние
1172,Факел Грейсона
1173,Выцветшие сапоги
1175,Золотой зуб
1177,Масло Олафа
1178,Взрывчатая ракета
1179,Ледяное молоко
1180,Свиток выносливости
1181,Свиток духа
1182,Украшенные латунью наручи
1183,Эластичные накулачники
1187,Шипастый ошейник
1189,Кольцо надзирателя
1190,Плащ надзирателя
1191,Мешок разноцветных шариков
1192,Испорченный шлем надзирателя
1193,Пластинчатый кулачный щит
1194,Полуторный меч
1195,Лопата кобольдского горняка
1196,Табар
1197,Огромная палица
1198,Клеймор
1200,Большой деревянный щит
1201,Дубовый щит истопника
1202,Башенный щит
1203,Эгида Штормграда
1204,Зеленая башня
1205,Дынный сок
1206,Моховой агат
1207,Звезда Марф
1208,Любовное послание Мейбелл
1210,Камень теней
1211,Боевая портупея гнолла
1212,Слюна гнолла
1213,Наручи гнолла
1214,Дубина гнолла
1215,Поддерживающий ремень
1217,Неведомая награда
1218,Тяжелая боевая дубина гнолла
1219,Красногорское мачете
1220,Волчий топор
1221,Чешуя с брюха черного дракончика
1222,Сломанный зуб
1251,Льняные бинты
1252,Записка бабули Стоунфилд
1256,Ветка хрустального фукуса
1257,Напиток невидимости
1259,ДжЙоо тестовый предмет
1260,Голова Тарил\'зуна
1261,Полуночная сфера
1262,Бочонок громоварского светлого
1263,Мозгоруб
1264,Головокрушитель
1265,Жало скорпиона
1270,Тонкотканый плащ
1273,Лесная кольчуга
1274,Шишки хмеля
1275,Плетеный нагрудник делегата
1276,Закаленный огнем кулачный щит
1280,Маскировочный плащ с капюшоном
1282,Капюшон искристого металла
1283,Записка Вернера
1284,Ящик с подковами
1287,Клык гигантского тарантула
1288,Большая ядовитая железа
1292,Мясницкий колун
1293,Состояние дел в Приозерье
1294,Ответ генерала
1296,Палица Черной горы
1297,Одеяния Темного чародея
1299,Малый пояс Шпиля
1300,Малый посох Пика
1302,Перчатки из черного дракончика
1303,Перчатки мостового рабочего
1304,Перчатки для верховой езды
1306,Накулачники волчьей гривы
1307,План сбора золота
1309,Ящик инструментов Ослоу
1310,Брюки кузнеца
1314,Защитные перчатки вурдалака
1315,Гирлянда из лилий
1317,Упрочненный посох из корня
1318,Ночной разрушитель
1319,Кольцо железной воли
1322,Жир из рыбьей печени
1325,Букет нарциссов
1326,Соте из рыбы-луны
1327,Записка Вилли
1349,Ящик Аберкромби
1351,Костяные наручи
1352,Мортира Дробителей Черепов
1353,Донесение Шоу
1355,Замшевая накидка
1356,Рекомендация: Элвиннский лес
1357,Карта сокровищ капитана Сандерса
1358,Ключ к сокровищу Сандера
1359,Перчатки Львиного следа
1360,Плетеные перчатки Штормграда
1361,Еще один ключ к сокровищу Сандерса.
1362,Последний ключ к сокровищу Сандерса.
1363,Испорченная глазная повязка капитана Сандерса
1364,Рваный кожаный жилет
1366,Рваные кожаные штаны
1367,Рваные кожаные сапоги
1368,Рваные кожаные перчатки
1369,Рваный кожаный пояс
1370,Рваные кожаные наручи
1372,Рваный плащ
1374,Изношенные ботинки
1376,Изношенный плащ
1377,Изношенные перчатки
1378,Изношенные штаны
1380,Изношенное одеяние
1381,Таинственное послание
1382,Скальная палица
1383,Каменный томагавк
1384,Тупой клинок
1386,Топор Чертополоха
1387,Клык вурдалака
1388,Корявый посох
1389,Молот кобольдского горняка
1391,Посох мистика из стаи Речной Лапы
1394,Доска из сплавного леса
1395,Штаны ученика
1396,Штаны послушника
1399,Волшебная свеча
1401,Листовой зеленый чай
1404,Оберег прилива
1405,Пеноплюйный посох
1406,Инкрустированное жемчугом копье
1407,Обращение Соломона к Западному Краю
1408,Ответ Камнегрива Соломону
1409,Обращение Соломона к Темнолесью
1410,Ответ Элло Чернодрева Соломону
1411,Иссохший посох
1412,Грубый полуторный меч
1413,Непрочный меч
1414,Треснувший ручной молот
1415,Киянка столяра
1416,Заржавленная секира
1417,Разбитый боевой топор
1418,Поношенный кожаный пояс
1419,Поношенные кожаные сапоги
1420,Поношенные кожаные наручи
1421,Поношенный плащ из шкуры
1422,Поношенные кожаные перчатки
1423,Поношенные кожаные штаны
1425,Поношенный кожаный жилет
1427,Лоскутные ботинки
1429,Лоскутный плащ
1430,Лоскутные перчатки
1431,Лоскутные штаны
1433,Лоскутная броня
1434,Горящая восковая палочка
1436,Брюки первопроходца
1438,Воинский щит
1440,Гнолльский крушитель черепов
1443,Изукрашенный амулет Кайнвин
1445,Наплечье Черной горы
1446,Сапоги орка из клана Черной горы
1447,Кольцо спасителей
1448,Рукавицы Черной горы
1449,Малое кольцо Благословения
1450,Зелье страсти
1451,Бутылка сока зомби
1453,Призрачный гребень
1454,Топор головореза
1455,Топор воителя клана Черной горы
1457,Палица Темношкуров
1458,Кувалда Темношкуров
1459,Рубило Темношкуров
1460,Двуручный меч Темношкуров
1461,Боевой топор убийцы
1462,Кольцо тени
1464,Коготь канюка
1465,Тигрогубитель
1467,Пятнистая рыба-луна
1468,Плавник мурлока
1469,Ятаган Атуна
1470,Сумка из кожи мурлока
1473,Береговой посох
1475,Малая ядовитая железа
1476,Сломанная паучья нога
1477,Свиток ловкости II
1478,Свиток защиты II
1479,Жаропрочные полуперчатки Салмы
1480,Дубина народной войны
1481,Лютый Коготь
1482,Тенеклык
1483,Мордокрушитель
1484,Ведовской посох
1485,Вилы
1486,Куртка из древесной коры
1487,Сотворенный хлеб грубого помола
1488,Броня Мстителя
1489,Броня покрова тьмы
1490,Талисман-хранитель
1491,Кольцо точности
1493,Тяжелый ятаган мародера
1495,Ситцевые ботинки
1497,Ситцевый плащ
1498,Ситцевые перчатки
1499,Ситцевые штаны
1501,Ситцевый мундир
1502,Покоробленный кожаный пояс
1503,Покоробленные кожаные сапоги
1504,Покоробленные кожаные наручи
1505,Покоробленный плащ
1506,Покоробленные кожаные перчатки
1507,Покоробленные кожаные штаны
1509,Покоробленный кожаный жилет
1510,Тяжелый молот
1511,Меч обывателя
1512,Грубый боевой топор
1513,Старый большой меч
1514,Ржавый боевой молот
1515,Грубый деревянный посох
1516,Старый топор
1518,Гребень для призрачных волос
1519,Ухо тролля из племени Кровавого Скальпа
1520,Пот тролля
1521,Лесоповальный огрский топор
1522,Копье охоты за головами
1523,Огромная каменная дубина
1524,Клык тролля из племени Дробителей Черепов
1528,Горсть овса
1529,Нефрит
1532,Сушеная голова
1537,Мешок с едой старой Савраски
1539,Крючковатый посох отшельника
1547,Щит веры
1557,Кулачный щит морей
1560,Сандалии Синежабрых
1561,Одеяние жнеца
1566,Лезвие народного ополчения
1596,Нить из призрачных волос
1598,Цветок гнили
1602,Топор-резак
1604,Разноцветный меч
1607,Хранитель душ
1608,Крушитель черепов
1613,Посох преследователя душ
1624,Шлем Дробителей Черепов
1625,Изысканный фламберг
1630,Сломанный электрофонарь
1637,Письмо к Элло
1639,Скалящийся топор
1640,Чудовищная секира
1645,Сок луноягоды
1652,Прочная коробка для обеда
1656,Переведенное письмо
1659,Инженерские перчатки
1664,Жезл усиления заклинаний
1672,Испорченная голова огра
1677,Жилет из драконьей чешуи
1678,Черные огрские тяжелые ботинки
1679,Коргская бита
1680,Головорез
1685,Сумка из шкуры тролля
1686,Колючая щетина
1687,Втягивающийся коготь
1688,Длинный пушистый хвост
1696,Кривой коготь ящера
1697,Зуб хищного ящера
1701,Кривой коготь василиска
1702,Невредимый хребет василиска
1703,Хрустальный хребет василиска
1705,Малый лунный камень
1706,Густо-лазурные осколки
1707,Штормградский бри
1708,Сладкий нектар
1710,Средний флакон с лечебным зельем
1711,Свиток выносливости II
1712,Свиток духа II
1713,Крест Жизни
1714,Ожерелье Калисеи
1715,Полированная джазерентская броня
1716,Одеяние мага
1717,Двойной мундир
1718,Штаны из шкуры василиска
1720,Узловатый посох
1721,Боевой молот викинга
1722,Острокаменная кувалда
1725,Большой ранец
1726,Костяное копье с отравленным наконечником
1727,Меч разложения
